count,1,2,3,4,5,6,7,person,amount
117,5,10,22,34,36,44,35,9,"1,558,378,334"
118,3,4,10,17,19,22,38,10,"1,297,989,720"
119,3,11,13,14,17,21,38,9,"1,474,899,400"
120,4,6,10,11,32,37,30,3,"4,364,530,300"
121,12,28,30,34,38,43,9,2,"6,839,648,100"
122,1,11,16,17,36,40,8,9,"1,450,073,800"
123,7,17,18,28,30,45,27,5,"2,532,982,680"
124,4,16,23,25,29,42,1,9,"1,395,936,267"
125,2,8,32,33,35,36,18,7,"1,754,870,786"
126,7,20,22,27,40,43,1,9,"1,369,301,500"
127,3,5,10,29,32,43,35,6,"1,965,939,150"
128,12,30,34,36,37,45,39,6,"2,064,043,100"
129,19,23,25,28,38,42,17,11,"1,093,629,655"
130,7,19,24,27,42,45,31,4,"3,036,496,650"
131,8,10,11,14,15,21,37,8,"1,451,214,488"
132,3,17,23,34,41,45,43,4,"2,920,473,525"
133,4,7,15,18,23,26,13,8,"1,450,242,600"
134,3,12,20,23,31,35,43,5,"2,349,155,100"
135,6,14,22,28,35,39,16,7,"1,717,293,515"
136,2,16,30,36,41,42,11,6,"1,997,694,150"
137,7,9,20,25,36,39,15,9,"1,270,403,467"
138,10,11,27,28,37,39,19,5,"2,227,152,000"
139,9,11,15,20,28,43,13,7,"1,650,210,215"
140,3,13,17,18,19,28,8,5,"2,109,462,840"
141,8,12,29,31,42,43,2,6,"1,900,552,400"
142,12,16,30,34,40,44,19,11,"1,018,265,564"
143,26,27,28,42,43,45,8,3,"3,954,584,700"
144,4,15,17,26,36,37,43,8,"1,402,440,413"
145,2,3,13,20,27,44,9,3,"3,797,838,200"
146,2,19,27,35,41,42,25,2,"6,043,415,250"
147,4,6,13,21,40,42,36,7,"1,700,040,215"
148,21,25,33,34,35,36,17,5,"2,323,596,420"
149,2,11,21,34,41,42,27,7,"1,639,052,143"
150,2,18,25,28,37,39,16,4,"2,831,645,850"
151,1,2,10,13,18,19,15,4,"2,716,634,025"
152,1,5,13,26,29,34,43,5,"2,278,131,840"
153,3,8,11,12,13,36,33,4,"2,730,526,125"
154,6,19,21,35,40,45,20,4,"2,836,628,700"
155,16,19,20,32,33,41,4,9,"1,193,005,734"
156,5,18,28,30,42,45,2,8,"1,401,099,900"
157,19,26,30,33,35,39,37,2,"5,484,903,750"
158,4,9,13,18,21,34,7,10,"1,069,544,340"
159,1,18,30,41,42,43,32,6,"1,755,407,300"
160,3,7,8,34,39,41,1,2,"5,490,805,350"
161,22,34,36,40,42,45,44,7,"1,996,876,272"
162,1,5,21,25,38,41,24,5,"2,308,265,760"
163,7,11,26,28,29,44,16,7,"1,629,726,515"
164,6,9,10,11,39,41,27,3,"4,054,937,900"
165,5,13,18,19,22,42,31,2,"6,767,426,700"
166,9,12,27,36,39,45,14,11,"1,111,299,982"
167,24,27,28,30,36,39,4,5,"2,491,222,920"
168,3,10,31,40,42,43,30,5,"2,349,946,920"
169,16,27,35,37,43,45,19,5,"2,482,888,380"
